,commit,commit1,commit2,comment,contributor,fork,open_issue,closed_issue
comp_projects,2958.2476806408094,818.4780776168914,2968.104570363461,1269.8406087050034,682.977908120449,3040.5602280228172,425.4301824626569,571.9256183377165,不成熟
angelos_projects,815.4793433347639,10.492564395178153,10.492564395178153,257.358080072873,,847.067048858209,,,340.51121148972686,1.670381056381248,1.670381056381248,,10260.872124158523,454.2056320622403,,942.9958710561765,97.79006384138427,,,不成熟
GenI_projects,578.6479886783472,199.34855196468175,593.491101865795,,297.1180557794813,10260.872124158523,439.4244630261036,1973.016782261434,不成熟
swift_projects,1885.1859248528056,1194.2739448728403,4928.89276445139,607.0464021437452,1233.5454450150917,1824.1541139607252,374.65104836737254,527.8914060253705,成熟
ipython_projects,1672.4267471011462,945.7123104546431,5020.762839563356,179.60487086388758,1192.6465353004223,4952.384348892927,2207.3754805331682,1569.804685249813,成熟
mysql-server_projects,401.1277383840807,191.27431514848487,728.0951558679499,201.61813746016378,442.95056059367306,1759.5442045097323,2701.636383799118,463.8549637489297,成熟
Crisp_projects,2116.4953851997657,2056.6233206050983,9929.623320605098,,1425.6783146469554,1523.1694330936052,273.55090784176815,1727.4036412060009,不成熟
scala_projects,1174.847777672613,639.8756936349097,3422.6918290126264,716.4835848492019,1319.689091368812,3337.053266091473,277.9477713539157,1881.335557659841,成熟
git_projects,3373.996286161022,1643.4753364781943,10041.713295810343,212.01929280983504,1005.8453780666962,9427.07760702696,320.0378415288843,449.3164116046544,成熟
pyqcy_projects,2116.4953851997657,2056.6233206050983,9929.623320605098,534.1256158307144,1425.6783146469554,10260.872124158523,271.34709775233665,1022.2599230244812,不成熟
go_projects,2667.984014327885,1482.8324827556437,7781.491493273792,218.31905198204186,1254.337985515262,2353.5517725282834,3199.5660640621672,2446.7036023605483,成熟
pdnsui_projects,406.283501389318,333.4223503699342,428.52907009596646,,370.9492303702664,1484.7226215872895,286.91867952903254,827.6804132864982,不成熟
firebug_projects,212.90300888902166,96.65354040074043,446.51381864142746,461.08867408483064,265.01956270394754,1009.1976130471504,410.02937088021395,623.5954291752544,成熟
ember.js_projects,2132.367127558781,1069.995642282439,6317.1404932130035,401.2709658021528,877.292844575474,4951.458497601203,696.4092737826327,2904.511823002334,成熟
matR_projects,499.8437703570995,396.1393104237789,521.349720101026,,428.0786454971647,1516.709646599448,202.20406785824363,856.1344749697487,不成熟
echarts_projects,231.22447785773085,12.2543904821271,12.2543904821271,108.72659914577184,,457.1791119767067,,180.85439623900356,3.5968547044235835,3.5968547044235835,,271.3180680404982,2.370558638935219,2.370558638935219,,3846.762507253578,553.1114787805001,,1683.692986679374,129.89972791743207,,2067.5367587763717,181.33018411456686,,成熟
spark_projects,3708.079999513618,2707.927665431311,10253.628209611643,412.8978094442316,1408.3974302442668,6457.079876096465,844.5434009900354,2657.506133938335,成熟
DOMinate_projects,898.1334838322117,8.959287986867455,8.959287986867455,320.314664926887,,912.4041619320694,,,363.0265473980169,1.9395902289169258,1.9395902289169258,,1628.3533123940879,68.85963733594622,,241.8749224868144,37.03537736937399,,805.1098535501155,87.56080008867796,,不成熟
pass.js_projects,2116.4953851997657,2056.6233206050983,9929.623320605098,,1425.6783146469554,10260.872124158523,2701.636383799118,,不成熟
Unpapered_projects,2958.2476806408094,818.4780776168914,2968.104570363461,,682.977908120449,1761.0850628398143,640.5294659949282,3800.9566646380604,不成熟
jquery_projects,958.7455678841867,458.5384409979606,2849.103270177912,630.410959834489,683.431668216507,7755.036352181578,279.73630093209323,1205.6384436647522,成熟
redstore_projects,2958.2476806408094,818.4780776168914,2968.104570363461,,682.977908120449,1721.7280033273407,218.85221287297898,655.8075139863339,不成熟
ruby_projects,252.11425709915278,65.55897836551766,568.3519080737632,366.09560380678215,219.18730311113592,5241.66685983929,393.3772292838141,1143.5664461442582,成熟
pw2mw_projects,2116.4953851997657,2056.6233206050983,9929.623320605098,1269.8406087050034,1425.6783146469554,,332.66609697514576,640.7642877093173,不成熟
tensorflow_projects,2326.652240103695,1678.817043278322,6385.0117378019,189.07539522485797,2187.1158352688585,1656.5236068127672,1118.5882075171785,613.6622211287965,成熟
mfp_projects,2122.597916662394,818.4780776168914,2129.0583125866065,213.46285865487602,682.977908120449,3040.5602280228172,257.0598336421149,451.7429416912504,不成熟
wijs_projects,2116.4953851997657,2056.6233206050983,9929.623320605098,,1425.6783146469554,,2701.636383799118,,不成熟
Canvassa_projects,2116.4953851997657,2056.6233206050983,9929.623320605098,,1425.6783146469554,10260.872124158523,596.0515009139866,1703.4737086773398,不成熟
d3_projects,504.9802524939071,237.60131634601672,1395.6493592811253,220.8612648542816,459.9499202640222,9439.101349343746,357.6515532050045,1167.754379305659,成熟
openstack_projects,5293.432065049377,3919.725588006238,14131.560866120524,667.2963319137158,1333.3443344214431,2901.019752687183,,672.8190069776217,成熟
FreeCodeCamp_projects,2429.055674104726,1962.1636148397965,6040.950025753294,176.35233822831083,2153.1743023862227,3058.1386642146335,472.43992479210686,751.4225912956332,成熟
php-src_projects,1570.8052177679647,820.0182690456038,4527.1680674899335,938.3190547036123,832.6334926545647,4549.586632637033,810.172095668294,1371.55419735713,成熟
scikit-learn_projects,2869.669927058402,1930.0842155034293,8037.407290677678,697.4952122042556,1581.6665480152903,5887.882118677767,2144.9282570583555,1953.8679401241527,成熟
luv.js_projects,2958.2476806408094,818.4780776168914,2968.104570363461,,682.977908120449,10260.872124158523,1617.6977055021803,709.5202626217058,不成熟
spring-framework_projects,776.2385816155434,437.87246719280927,2216.6747915838746,327.5821242563179,680.0755966783813,6844.724582658391,646.3173934199949,858.8348239017863,成熟
PiSpace_projects,2116.4953851997657,2056.6233206050983,9929.623320605098,,1425.6783146469554,,315.97326310787207,980.4836849648652,不成熟
Chart.js_projects,834.713912027053,550.4650716007114,2226.363508333818,188.31997061317313,933.9002148311704,3799.213864867903,985.51365285401,1472.7661553525363,成熟
ajhc_projects,246.07416306165035,10.419307227837704,10.419307227837704,62.95389731863734,,366.18278409671694,,214.2637904755526,3.5968547044235835,3.5968547044235835,,210.53056181679645,0.8973796510209823,0.8973796510209823,,1040.50716726041,44.31638881694366,,248.4628227811234,43.52258015760202,,1314.302082029137,109.11220640372602,,不成熟
spiff_projects,2116.4953851997657,2056.6233206050983,9929.623320605098,,1425.6783146469554,1253.60097591239,248.95533981813293,1408.545152132035,不成熟
hgd_projects,559.8379193619852,285.31170891181,419.4644133066581,172.61959615008723,364.28308794850676,1283.5024316423116,224.74651856059492,697.1026535785895,不成熟
